<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251216,12:50:00,57.64,57.64,57.64,57.64,2790
20251216,12:51:00,57.65,57.65,57.64,57.65,6030
20251216,12:52:00,57.65,57.65,57.64,57.64,1720
20251216,12:53:00,57.65,57.65,57.64,57.64,3570
20251216,12:54:00,57.64,57.64,57.61,57.61,3360
20251216,12:55:00,57.63,57.63,57.61,57.61,780
20251216,12:56:00,57.61,57.61,57.53,57.58,111350
20251216,12:57:00,57.56,57.59,57.56,57.59,2870
20251216,12:58:00,57.58,57.6,57.57,57.6,610
20251216,12:59:00,57.59,57.6,57.57,57.6,1190
20251216,13:00:00,57.6,57.61,57.6,57.6,1590
20251216,13:01:00,57.6,57.6,57.53,57.56,59980
20251216,13:02:00,57.56,57.56,57.54,57.55,5100
20251216,13:03:00,57.54,57.55,57.52,57.55,6800
20251216,13:04:00,57.54,57.56,57.54,57.55,1420
20251216,13:05:00,57.56,57.58,57.56,57.58,4680
20251216,13:06:00,57.58,57.58,57.57,57.57,2600
20251216,13:07:00,57.57,57.58,57.55,57.58,13030
20251216,13:08:00,57.58,57.6,57.55,57.59,18010
20251216,13:09:00,57.6,57.6,57.55,57.56,20030
20251216,13:10:00,57.56,57.6,57.54,57.56,13790
20251216,13:11:00,57.56,57.56,57.54,57.55,3580
20251216,13:12:00,57.55,57.57,57.54,57.57,8250
20251216,13:13:00,57.56,57.56,57.5,57.5,111460
20251216,13:14:00,57.5,57.52,57.5,57.52,540
20251216,13:15:00,57.5,57.53,57.5,57.52,12340
20251216,13:16:00,57.53,57.53,57.52,57.52,9670
20251216,13:17:00,57.51,57.51,57.44,57.49,162830
20251216,13:18:00,57.5,57.52,57.44,57.51,97990
20251216,13:19:00,57.5,57.52,57.5,57.52,1990
20251216,13:20:00,57.52,57.52,57.48,57.48,6730
20251216,13:21:00,57.48,57.52,57.46,57.52,64090
20251216,13:22:00,57.51,57.52,57.5,57.52,960
20251216,13:23:00,57.52,57.52,57.51,57.51,320
20251216,13:24:00,57.52,57.52,57.44,57.48,126920
20251216,13:25:00,57.46,57.49,57.44,57.47,27400
20251216,13:26:00,57.47,57.49,57.46,57.49,2410
20251216,13:27:00,57.49,57.49,57.48,57.49,1800
20251216,13:28:00,57.49,57.5,57.49,57.5,7840
20251216,13:29:00,57.5,57.55,57.5,57.55,25910
20251216,13:30:00,57.55,57.55,57.53,57.55,2690
20251216,13:31:00,57.54,57.55,57.54,57.55,25830
20251216,13:32:00,57.55,57.55,57.51,57.52,4180
20251216,13:33:00,57.51,57.53,57.51,57.53,3570
20251216,13:34:00,57.53,57.53,57.52,57.53,1670
20251216,13:35:00,57.52,57.55,57.51,57.55,73850
20251216,13:36:00,57.55,57.56,57.55,57.56,1820
20251216,13:37:00,57.56,57.57,57.56,57.57,24110
20251216,13:38:00,57.57,57.63,57.56,57.63,46720
20251216,13:39:00,57.63,57.63,57.62,57.63,10880
20251216,13:40:00,57.63,57.65,57.63,57.65,38490
20251216,13:41:00,57.65,57.65,57.64,57.65,1810
20251216,13:42:00,57.65,57.65,57.63,57.63,5770
20251216,13:43:00,57.65,57.65,57.63,57.63,32800
20251216,13:44:00,57.62,57.62,57.6,57.6,700
20251216,13:45:00,57.59,57.61,57.59,57.61,4390
20251216,13:46:00,57.61,57.61,57.47,57.49,262900
20251216,13:47:00,57.48,57.53,57.48,57.52,12630
20251216,13:48:00,57.51,57.52,57.5,57.52,1390
20251216,13:49:00,57.52,57.52,57.52,57.52,1740
20251216,13:50:00,57.51,57.53,57.51,57.53,6890
20251216,13:51:00,57.53,57.53,57.53,57.53,320
20251216,13:52:00,57.53,57.6,57.53,57.57,160030
20251216,13:53:00,57.57,57.6,57.54,57.59,36770
20251216,13:54:00,57.59,57.6,57.58,57.59,4990
20251216,13:55:00,57.59,57.6,57.58,57.58,6280
20251216,13:56:00,57.58,57.59,57.58,57.59,270
20251216,13:57:00,57.6,57.63,57.59,57.63,261560
20251216,13:58:00,57.62,57.63,57.62,57.62,10830
20251216,13:59:00,57.61,57.62,57.61,57.61,12330
20251216,14:00:00,57.62,57.63,57.58,57.62,7990
20251216,14:01:00,57.61,57.62,57.61,57.62,1510
20251216,14:02:00,57.62,57.63,57.62,57.63,22290
20251216,14:03:00,57.63,57.64,57.63,57.64,16440
20251216,14:04:00,57.62,57.64,57.62,57.64,50
20251216,14:05:00,57.62,57.65,57.62,57.65,25410
20251216,14:06:00,57.64,57.64,57.63,57.64,3170
20251216,14:07:00,57.63,57.64,57.63,57.64,4350
20251216,14:08:00,57.64,57.65,57.64,57.65,2000
20251216,14:09:00,57.65,57.65,57.65,57.65,33770
20251216,14:10:00,57.65,57.65,57.63,57.63,4050
20251216,14:11:00,57.62,57.98,57.58,57.93,1386670
20251216,14:12:00,57.93,58.09,57.89,58.05,1381760
20251216,14:13:00,58.04,58.08,58.01,58.03,376510
20251216,14:14:00,58.03,58.54,58.01,58.42,2129400
20251216,14:15:00,58.41,58.48,58.27,58.31,520370
20251216,14:16:00,58.31,58.33,58.26,58.28,295420
20251216,14:17:00,58.29,58.29,58.26,58.29,128970
20251216,14:18:00,58.29,58.4,58.29,58.39,249000
20251216,14:19:00,58.38,58.39,58.31,58.33,132250
20251216,14:20:00,58.36,58.39,58.31,58.31,146390
20251216,14:21:00,58.32,58.33,58.26,58.3,171640
20251216,14:22:00,58.3,58.3,58.24,58.25,223330
20251216,14:23:00,58.25,58.34,58.22,58.33,453950
20251216,14:24:00,58.33,58.37,58.3,58.32,227210
20251216,14:25:00,58.31,58.32,58.28,58.31,70270
20251216,14:26:00,58.29,58.32,58.27,58.28,43100
20251216,14:27:00,58.28,58.29,58.25,58.28,135590
20251216,14:28:00,58.28,58.28,58.24,58.26,83540
20251216,14:29:00,58.25,58.32,58.24,58.31,262650
20251216,14:30:00,58.32,58.36,58.3,58.31,169230
20251216,14:31:00,58.31,58.31,58.27,58.3,21900
20251216,14:32:00,58.3,58.32,58.27,58.29,24720
20251216,14:33:00,58.29,58.29,58.27,58.27,7010
20251216,14:34:00,58.29,58.3,58.28,58.29,16790
20251216,14:35:00,58.29,58.29,58.28,58.29,28120
20251216,14:36:00,58.28,58.29,58.28,58.28,10210
20251216,14:37:00,58.27,58.28,58.24,58.27,76290
20251216,14:38:00,58.26,58.26,58.23,58.26,106770
20251216,14:39:00,58.25,58.26,58.24,58.25,28260
20251216,14:40:00,58.24,58.29,58.24,58.28,45130
20251216,14:41:00,58.29,58.29,58.28,58.29,26840
20251216,14:42:00,58.28,58.29,58.28,58.29,8190
20251216,14:43:00,58.29,58.29,58.22,58.27,222220
20251216,14:44:00,58.26,58.28,58.22,58.26,107840
20251216,14:45:00,58.26,58.26,58.24,58.24,5290
20251216,14:46:00,58.25,58.26,58.22,58.24,146370
20251216,14:47:00,58.25,58.25,58.24,58.25,2560
20251216,14:48:00,58.25,58.25,58.24,58.24,18350
20251216,14:49:00,58.24,58.25,58.22,58.25,2133230
20251216,14:50:00,58.25,58.29,58.22,58.25,125140
20251216,14:51:00,58.23,58.26,58.22,58.23,183310
20251216,14:52:00,58.23,58.29,58.23,58.26,90300
20251216,14:53:00,58.26,58.27,58.22,58.23,77670
20251216,14:54:00,58.22,58.23,58.09,58.12,1144020
20251216,14:55:00,58.13,58.17,58.13,58.14,49730
20251216,14:56:00,58.13,58.19,58.13,58.15,110830
20251216,14:57:00,58.16,58.19,58.16,58.19,16220
20251216,14:58:00,58.19,58.24,58.19,58.22,86240
20251216,14:59:00,58.23,58.31,58.2,58.3,422020
20251216,15:00:00,58.3,58.33,58.3,58.31,125040
20251216,15:01:00,58.31,58.32,58.3,58.31,14070
20251216,15:02:00,58.31,58.45,58.31,58.43,524550
20251216,15:03:00,58.43,58.46,58.43,58.45,93750
20251216,15:04:00,58.45,59.45,58.45,59.07,3141220
20251216,15:05:00,59.07,59.21,58.78,58.89,1180870
20251216,15:06:00,58.89,58.95,58.76,58.86,540080
